trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-162.2045226392866,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-122.96788222967729,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-107.48879000702907,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-165.97219833558077,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-83.99502146173289,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-66.15872583706538,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-22.050936243362994,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.66056328653168,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-4.13058447898692,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-139.23559960213373,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,19,-3.3285790248347995,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-7.891183538185801,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,16.02360405808781,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-35.53312211711318,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-57.02544351625424,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,-7.557206331748204,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,-16.725011527503362,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-28.151379143206427,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-14.447077906620441,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,-5.55716031682924,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-7.080487000548063,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,5,-48.59664596229381,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,13,10.574704815270115,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,1,-52.70123969857632,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,28.42353921976983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,-5.153859955514818,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,10,22.118930309025345,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,16.6962583420123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,19,20.13562278088012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,7.355946871082102,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
