trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.97}",25,0,-119.04677996145872,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9409}",25,0,-89.7413429702334,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.912673}",20,0,-81.64842364383958,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.8852928099999999}",20,0,-86.26191950048434,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.8587340256999999}",30,0,-126.70163770593496,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.8329720049289999}",25,0,-95.04754990081423,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.8079828447811299}",30,12,-81.36734771169463,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 1}",1
8,False,"{'a': 0.7, 'e': 0.783743359437696}",25,0,-168.3029870461118,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.7602310586545651}",25,0,-87.34802948397434,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.7374241268949281}",25,12,-63.59281030696598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.7, 'e': 0.7153014030880802}",30,0,-114.50609758999168,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.6938423609954378}",20,0,-45.48714104697825,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.6730270901655747}",20,0,-32.83364377662775,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.6528362774606075}",20,0,-81.6877606816121,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.6332511891367892}",20,2,-59.70972096449574,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.7, 'e': 0.6142536534626856}",20,0,-61.495726704495034,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
