trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.445503836643994,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.63856471483965,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.36169297573403,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.17918311851022,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.96240809969822,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-249.8709102040392,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-204.53673120010885,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.27529072839363,"{0: 14, 1: 6, 2: 1, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.21892677219073,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.96949720323653,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.06125976438044,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.9070600788381,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.99270363444373,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.01538805953101,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.89269753159208,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.98530202334294,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.2554708063854,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.38099884016106,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,3,-76.5445144629234,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.53153093679046,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.63604482525625,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.1716023061987,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-57.22846450354645,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.27451759001319,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.35888889940368,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.89548959652247,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.09619091646111,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.03416383363785,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.76050814126803,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.57446157576086,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
